"By default, the Final Score is calculated as the average of Goal Score, Feedback Score, and Self Appraisal Score. Enable this to set a different formula","Por defecto, la puntuación final es el promedio de objetivos y retroalimentación. Active esto para una fórmula diferente."
CTC,Costo Total (CTC)
Calculate Final Score based on Formula,Calcular puntuación final según fórmula
Calculate Gratuity Amount Based On,Calcular monto de gratificación basado en
Cancellation Queued,Cancelación en cola
Cannot Modify Time,No se puede modificar la hora
Cannot allocate leaves outside the allocation period {0} - {1},No se pueden asignar licencias fuera del período {0} - {1}
Cannot break shift after end date,No se puede interrumpir el turno después de la fecha de fin
Cannot break shift before start date,No se puede interrumpir el turno antes de la fecha de inicio
Cannot cancel Shift Assignment: {0} as it is linked to Attendance: {1},No se puede cancelar el turno {0} porque está vinculado a la asistencia {1}
Cannot cancel Shift Assignment: {0} as it is linked to Employee Checkin: {1},No se puede cancelar el turno {0} porque está vinculado al registro {1}
Cannot create Salary Slip for Employee joining after Payroll Period,No se puede crear recibo para empleados que ingresan después del período
Cannot create Salary Slip for Employee who has left before Payroll Period,No se puede crear recibo para empleados que se retiraron antes del período
Cannot create a Job Applicant against a closed Job Opening,No se puede crear un postulante para una vacante cerrada
Cannot create or change transactions against an Appraisal Cycle with status {0}.,No se pueden crear transacciones en un ciclo de evaluación con estado {0}.
Cannot mark attendance for an Inactive employee {0},No se puede marcar asistencia para un empleado inactivo {0}
Cannot update allocation for {0} after submission,No se puede actualizar la asignación para {0} tras el envío
Cannot update status of Goal groups,No se puede actualizar el estado de los grupos de objetivos
Cause of Grievance,Causa de la queja
Changed the status from {0} to {1} and Status for Other Half to {2} via Attendance Request,Estado cambiado de {0} a {1} (y otra mitad a {2}) vía solicitud
Changed the status from {0} to {1} via Attendance Request,Estado cambiado de {0} a {1} vía solicitud de asistencia
Changing '{0}' to {1}.,Cambiando '{0}' a {1}.
Changing KRA in this parent goal will align all the child goals to the same KRA, if any.,Cambiar el KRA en este objetivo alineará todos los objetivos hijos al mismo.
"Check <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> for more details",Ver {1} en el registro de errores para más detalles
Check Error Log {0} for more details.,Ver el registro de errores {0} para más detalles.
Check {0} for more details,Ver {0} para más detalles
Checkin Radius,Radio de registro
Child nodes can only be created under 'Group' type nodes,Los nodos hijos solo pueden crearse bajo nodos tipo 'Grupo'
Claim an Expense,Reclamar un gasto
Claims,Reclamos
Cleared,Aprobado
Click {0} to change the configuration and then resave salary slip,Haga clic en {0} para cambiar la configuración y guarde de nuevo el recibo
Closed On,Cerrado el
Closes On,Cierra el
Closes on:,Cierra el:
Completing onboarding,Completando incorporación
Condition & Formula,Condición y Fórmula
Condition and Formula Help,Ayuda de Condición y Fórmula
Consider Grace Period,Considerar período de gracia
Consider Marked Attendance on Holidays,Considerar asistencia marcada en feriados
Consider Tax Exemption Declaration,Considerar declaración de exención de impuestos
Consolidate Leave Types,Consolidar tipos de licencia
Could not find any salary slip(s) for the employee {0},No se encontraron recibos de sueldo para el empleado {0}
Could not update Goal,No se pudo actualizar el objetivo
Could not update goals,No se pudieron actualizar los objetivos
Country Fixture Deletion Failed,Error al eliminar datos fijos del país
Country Setup failed,Configuración de país fallida
Create Additional Salary,Crear salario adicional
Create Appraisals,Crear evaluaciones
Create Interview,Crear entrevista
Create Job Applicant,Crear postulante
Create Job Opening,Crear vacante
Create Shifts After,Crear turnos después de
Creating Appraisals,Creando evaluaciones
Creation Failed,Error en la creación
Creation of Salary Structure Assignments has been queued. It may take a few minutes.,La creación de asignaciones de estructura salarial está en cola.
Creation of {0} has been queued. It may take a few minutes.,La creación de {0} está en cola.
Criteria based on which employee should be rated in Performance Feedback and Self Appraisal,Criterios para calificar al empleado en retroalimentación y autoevaluación
Currency,Moneda
Currency of selected Income Tax Slab should be {0} instead of {1},La moneda de la tabla de impuestos debe ser {0} en lugar de {1}
Current CTC,CTC actual
Current Employer,Empleador actual
Current Job Title,Título del puesto actual
Current Month Income Tax,Impuesto sobre la renta del mes actual
Current Slab,Tabla actual
Current Work Experience,Experiencia laboral actual
Currently, there is no {0} leave period for this date to create/update leave allocation.,No existe un período de licencia {0} para esta fecha.
Custom Range,Rango personalizado
Cycle Name,Nombre del ciclo
Cycles,Ciclos
Date Range Exceeded,Rango de fechas excedido
Dates & Reason,Fechas y Motivo
Dates Based On,Fechas basadas en
Decision Pending,Decisión pendiente
Deduction from Salary,Deducción de salario
Deductions JSON,JSON de deducciones
Deductions before tax calculation,Deducciones antes del cálculo de impuestos
Default Base Pay,Pago base por defecto
Delete Attachment,Eliminar adjunto
Department {0} does not belong to company: {1},El departamento {0} no pertenece a la empresa {1}
Department: {0},Departamento: {0}
Depends On Payment Days,Depende de los días de pago
Department Wise Payroll Summary,Resumen de Nómina por Departamento
Designation: {0},Designación: {0}
"Disable {0} for the {1} component, to prevent the amount from being deducted twice, as its formula already uses a payment-days-based component.","Desactive {0} para el componente {1} para evitar que el monto se deduzca dos veces."
Disable {0} or {1} to proceed.,Desactive {0} o {1} para proceder.
Do Not Include in Accounting Entries,No incluir en asientos contables
"Do you want to update the Job Applicant {0} as {1} based on this interview result?","¿Desea actualizar al postulante {0} como {1} según el resultado de la entrevista?"
Documentation,Documentación
Duplicate Attendance,Asistencia duplicada
Duplicate Job Requisition,Requisición de trabajo duplicada
Duplicate Overwritten Salary,Salario sobrescrito duplicado
Duplicate Salary Withholding,Retención salarial duplicada
ERROR({0}): {1},ERROR({0}): {1}
Early Exit By,Salida anticipada por
Early Exits,Salidas anticipadas
Earned Leaves,Licencias ganadas
Earned Leaves are allocated as per the configured frequency via scheduler.,Las licencias ganadas se asignan según la frecuencia configurada.
"Earned Leaves are auto-allocated via scheduler based on the annual allocation set in the Leave Policy: {0}","Las licencias se asignan automáticamente según la política de licencias: {0}"
"Earned Leaves are leaves earned by an Employee after working with the company for a certain amount of time. Enabling this will allocate leaves on pro-rata basis by automatically updating Leave Allocation for leaves of this type at intervals set by 'Earned Leave Frequency.","Las licencias ganadas son aquellas obtenidas tras cierto tiempo trabajado. Al activarlo, se asignarán a prorrata automáticamente."
Earning Salary Component is required for Employee Referral Bonus.,Se requiere un componente de ingresos para el bono de referencia.
Earnings & Deductions,Ingresos y Deducciones
Earnings JSON,JSON de ingresos
Effective From,Efectivo desde
Effective To,Efectivo hasta
Email Salary Slips,Enviar recibos por correo
Employee Advance Balance,Saldo de anticipo de empleado
Employee Cost Center,Centro de costos del empleado
Employee Exit Settings,Configuración de salida de empleado
Employee Exits,Salidas de empleados
Employee Feedback Criteria,Criterios de retroalimentación
Employee Feedback Rating,Calificación de retroalimentación
Employee Grievance,Queja de empleado
Employee Image,Imagen del empleado
Employee Info,Información del empleado
Employee Naming By,Nombramiento de empleados por
Employee Onboarding: {0} already exists for Job Applicant: {1},Incorporación {0} ya existe para el postulante {1}
Employee Performance Feedback,Retroalimentación de desempeño
Employee Referral {0} is not applicable for referral bonus.,La referencia {0} no aplica para bono de referencia.
Employee Referrals,Referencias de empleados
Employee Responsible,Empleado responsable
Employee Retained,Empleado retenido
Employee Status,Estado del empleado
Employee advance account {0} should be of type {1},La cuenta de anticipo {0} debe ser de tipo {1}
"Employee advance account {0} should be of type {1}.","La cuenta de anticipo {0} debe ser de tipo {1}."
"Employee can be named by Employee ID if you assign one, or via Naming Series. Select your preference here.","El empleado puede nombrarse por ID o por serie. Seleccione su preferencia."
Employee name,Nombre del empleado
Employee records are created using the selected option,Los registros se crean usando la opción seleccionada
Employee was marked Absent due to missing Employee Checkins.,Empleado marcado Ausente por falta de registros de ingreso.
Employee was marked Absent for not meeting the working hours threshold.,Empleado marcado Ausente por no cumplir las horas mínimas.
Employee was marked Absent for other half due to missing Employee Checkins.,Empleado marcado Ausente para la otra mitad por falta de registros.
"Employee {0} already has an Attendance Request {1} that overlaps with this period","El empleado {0} ya tiene una solicitud {1} superpuesta con este período"
"Employee {0} already has an active Shift {1}: {2} that overlaps within this period.","El empleado {0} ya tiene un turno activo {1}: {2} superpuesto."
Employee {0} has already applied for Shift {1}: {2} that overlaps within this period,El empleado {0} ya solicitó el turno {1} superpuesto en este período
Employee {0} has already applied for {1} between {2} and {3} : {4},El empleado {0} ya solicitó {1} entre {2} y {3}
Employee {0} not found in Training Event Participants.,Empleado {0} no encontrado en los participantes del evento.
Employee {0} relieved on {1} must be set as 'Left',El empleado {0} retirado el {1} debe marcarse como 'Retirado'
Employee: {0} have to complete minimum {1} years for gratuity,El empleado {0} debe completar mínimo {1} años para gratificación
Employees cannot give feedback to themselves. Use {0} instead: {1},Los empleados no pueden calificarse a sí mismos. Use {0} en su lugar.
Employees on Half Day HTML,Empleados en media jornada HTML
"Employees will miss holiday reminders from {} until {}. <br> Do you want to proceed with this change?","Los empleados no recibirán recordatorios de feriados desde {} hasta {}. ¿Desea proceder?"
Employees without Feedback: {0},Empleados sin retroalimentación: {0}
Employees without Goals: {0},Empleados sin objetivos: {0}
EmptyState,Estado Vacío
Enable Early Exit Marking,Habilitar marcado de salida anticipada
Enable Late Entry Marking,Habilitar marcado de entrada tardía
Encashment Days,Días de canje
Encashment Days cannot exceed {0} {1} as per Leave Type settings,Los días de canje no pueden exceder {0} según la configuración.
Encashment Limit Applied,Límite de canje aplicado
End date: {0},Fecha de fin: {0}
"Enter the Standard Working Hours for a normal work day. These hours will be used in calculations of reports such as Employee Hours Utilization and Project Profitability analysis.","Ingrese las horas estándar de trabajo. Se usarán para reportes de utilización y rentabilidad."
Enter the number of leaves you want to allocate for the period.,Ingrese el número de licencias a asignar para el período.
Error in formula or condition,Error en fórmula o condición
Error in formula or condition: {0} in Income Tax Slab,Error en fórmula o condición: {0} en tabla de impuestos
"Error while evaluating the {doctype} {doclink} at row {row_id}. <br><br> <b>Error:</b> {error} <br><br> <b>Hint:</b> {description}","Error al evaluar el {doctype} {doclink} en fila {row_id}. Error: {error}. Pista: {description}"
Evaluation Method cannot be changed as there are existing appraisals created for this cycle,El método de evaluación no se puede cambiar porque ya existen evaluaciones.
Every 2 Weeks,Cada 2 semanas
Every 3 Weeks,Cada 3 semanas
Every 4 Weeks,Cada 4 semanas
Every Week,Cada semana
Everyone, let’s congratulate them on their work anniversary!,¡Felicitemos a todos por su aniversario laboral!
"Everyone, let’s congratulate {0} on their birthday.","¡Todos, felicitemos a {0} por su cumpleaños!"
Exchange Rate cannot be zero.,El tipo de cambio no puede ser cero.
Exclude Holidays,Excluir feriados
Excluded {0} Non-Encashable Leaves for {1},Excluidas {0} licencias no canjeables para {1}
Exemption Proofs,Pruebas de exención
Existing Record,Registro existente
Existing Shift Assignments,Asignaciones de turno existentes
Exit Confirmed,Salida confirmada
Exit Details,Detalles de salida
Exit Interview,Entrevista de salida
Exit Interview Pending,Entrevista de salida pendiente
Exit Interview {0} already exists for Employee: {1},La entrevista de salida {0} ya existe para el empleado {1}
Exit Questionnaire,Cuestionario de salida
Exit Questionnaire Notification,Notificación de cuestionario de salida
Exit Questionnaire Notification Template,Plantilla de notificación de cuestionario
Exit Questionnaire Pending,Cuestionario de salida pendiente
Exit Questionnaire Web Form,Formulario web de cuestionario de salida
Expected Average Rating,Calificación promedio esperada
Expected By,Esperado para el
Expected Compensation,Compensación esperada
Expected Skill Set,Habilidades esperadas
Expected Skillset,Conjunto de habilidades esperado
Expense Claim Summary,Resumen de reclamo de gastos
Expenses & Advances,Gastos y Anticipos
Expire Leaves,Caducar licencias
Expired Leave(s),Licencia(s) caducada(s)
Exporting...,Exportando...
Failed to delete defaults for country {0}.,Error al eliminar valores por defecto del país {0}.
Failed to download Salary Slip PDF,Error al descargar el recibo de sueldo en PDF.
Failed to send the Interview Reschedule notification. Please configure your email account.,Error al enviar notificación de reprogramación. Configure su correo.
Failed to setup defaults for country {0}.,Error al configurar valores por defecto para el país {0}.
Failed to update the Job Applicant status,Error al actualizar el estado del postulante.
"Failed to {0} {1} for employees:","Error al {0} {1} para los empleados:"
Failure Details,Detalles del fallo
Feedback Count,Recuento de retroalimentación
Feedback HTML,Retroalimentación HTML
Feedback Ratings,Calificaciones de retroalimentación
Feedback Reminder Notification Template,Plantilla de recordatorio de retroalimentación
Feedback Score,Puntuación de retroalimentación
Feedback Summary,Resumen de retroalimentación
Feedback cannot be recorded for an absent Employee.,No se puede registrar retroalimentación para un empleado ausente.
Feedback {0} added successfully,Retroalimentación {0} agregada con éxito
Fetch Geolocation,Obtener geolocalización
Fetch Shift,Obtener turno
Fetch Shifts,Obtener turnos
Fetching Employees,Obteniendo empleados
Fetching Shift,Obteniendo turno
Fetching your geolocation,Obteniendo su geolocalización
File Preview,Vista previa del archivo
Filled,Ocupado
Filter Employees,Filtrar empleados
Final Decision,Decisión final
Final Score,Puntuación final
Final Score Formula,Fórmula de puntuación final
First Day,Primer día
FnF Pending,Liquidación pendiente
For Designation,Para la designación
"For a day of leave taken, if you still pay (say) 50% of the daily salary, then enter 0.50 in this field.","Si por un día de licencia paga el 50% del salario diario, ingrese 0.50 en este campo."
Fraction of Applicable Earnings,Fracción de ingresos aplicables
Fraction of Daily Salary per Leave,Fracción de salario diario por licencia
Fractional Cost,Costo fraccionario
Frappe HR,Frappe HR
Frappe School,Frappe School
From Date must come before To Date,La fecha inicial debe ser anterior a la final.
From and to dates are mandatory for recurring type additional salaries.,Las fechas son obligatorias para salarios adicionales recurrentes.
From here, you can enable encashment for the balance leaves.,Desde aquí puede habilitar el canje de los saldos de licencia.
From {0} to {1},De {0} a {1}
From(Year),Desde (Año)
Fuchsia,Fucsia
Fuel Expenses,Gastos de combustible
Full and Final Asset,Activo de liquidación final
Full and Final Outstanding Statement,Estado de cuenta pendiente de liquidación
Future Income Tax,Impuesto sobre la renta futuro
Geolocation Error,Error de geolocalización
Geolocation is not supported by your current browser,Su navegador no soporta geolocalización
Get Job Requisitions,Obtener requisiciones de trabajo
Get the app on your device for easy access & a better experience!,¡Descarga la app para una mejor experiencia!
Get the app on your iPhone for easy access & a better experience,Descarga la app en tu iPhone para una mejor experiencia
Go to Login,Ir al inicio de sesión
Goal Completion (%),Cumplimiento de objetivos (%)
Goal Score,Puntuación de objetivos
Goal Score (%),Puntuación de objetivos (%)
Goal Score (weighted),Puntuación de objetivos (ponderada)
Goal progress percentage cannot be more than 100.,El progreso no puede ser mayor al 100%.
Goal should be aligned with the same KRA as its parent goal.,El objetivo debe alinearse con el mismo KRA que el padre.
Goal should be owned by the same employee as its parent goal.,El objetivo debe pertenecer al mismo empleado que el padre.
Goal should belong to the same Appraisal Cycle as its parent goal.,El objetivo debe pertenecer al mismo ciclo que el padre.
Goal updated successfully,Objetivo actualizado exitosamente
Goals updated successfully,Objetivos actualizados exitosamente
Gratuity,Gratificación / Prestaciones
Gratuity Applicable Component,Componente aplicable para gratificación
Gratuity Rule,Regla de gratificación
Gratuity Rule Slab,Tabla de regla de gratificación
Grievance Against,Queja contra
Grievance Against Party,Queja contra la parte
Grievance Details,Detalles de la queja
Grievance Type,Tipo de queja
Gross Earnings,Ingresos brutos
Gross Pay,Liquido a Recibir
Gross Pay (Company Currency),Liquido a Recibir (Moneda empresa)
Gross Year To Date,Bruto acumulado del año
Gross Year To Date(Company Currency),Bruto acumulado (Moneda empresa)
Group goal's progress is auto-calculated based on the child goals.,El progreso del grupo se calcula automáticamente por los hijos.
HR & Payroll,RRHH y Nómina
HR & Payroll Settings,Configuración de RRHH y Nómina
HR Administrator,Administrador de RRHH
HR Shift Attendance,Asistencia de turno RRHH
HR-APR-.YYYY.-,HR-APR-.YYYY.-
HR-EXIT-INT-,HR-EXIT-INT-
HR-HIREQ-,HR-HIREQ-
HRMS,HRMS
Half Day Marked Employee Header,Encabezado de empleado en media jornada
Half Day Records,Registros de media jornada
Hey {}! This email is to remind you about the upcoming holidays.,¡Hola {}! Este correo es para recordarte los próximos feriados.
Hiring Count,Recuento de contrataciones
Holidays this Month.,Feriados este mes.
Holidays this Week.,Feriados esta semana.
Horizontal Break,Salto horizontal
Hour Rate (Company Currency),Tarifa por hora (Moneda empresa)
If checked, Payroll Payable will be booked against each employee,Si se marca, la nómina por pagar se registrará por empleado
If enabled, auto attendance will be marked on holidays if Employee Checkins exist,Si se activa, la asistencia se marcará en feriados si hay registros
If enabled, deducts payment days for absent attendance on holidays. By default, holidays are considered as paid,Si se activa, descuenta días de pago por ausencias en feriados.
If enabled, the amount will be excluded from accounting entries during Journal Entry creation.,Si se activa, el monto se excluirá de los asientos contables.
If enabled, the component will be considered as a tax component and the amount will be auto-calculated as per the configured income tax slabs,Si se activa, el componente será fiscal y se calculará según las escalas de impuestos.
If enabled, the component will be considered in the Income Tax Deductions report,Si se activa, se incluirá en el reporte de deducciones de impuestos.
If enabled, the component will not be displayed in the salary slip if the amount is zero,Si se activa, no aparecerá en el recibo si el monto es cero.
If enabled, the total no. of applications received for this opening will be displayed on the website,Si se activa, el total de postulantes será público en la web.
"If enabled, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Si se activa, este componente no afectará el neto, pero podrá ser referenciado por otros componentes."
If enabled, total no. of working days will include holidays, and this will reduce the value of Salary Per Day,Si se activa, los días de trabajo incluirán feriados, reduciendo el salario diario.
If set, the job opening will be closed automatically after this date,Si se define, la vacante se cerrará automáticamente en esta fecha.
"If you are using loans in salary slips, please install the {0} app from Frappe Cloud Marketplace or GitHub to continue using loan integration with payroll.","Si usa préstamos, instale la app {0} para continuar con la integración en nómina."
In case of any error during this background process, the system will add a comment about the error on this Payroll Entry and revert to the Submitted status,En caso de error en el proceso, el sistema agregará un comentario y revertirá al estado Enviado.
Incentive,Incentivo
Include Company Descendants,Incluir descendientes de la empresa
Include Holidays,Incluir feriados
